                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                  1.582,                 2.7498,                 1.1766,                 1.3054,                0.55037,                0.52982,                0.50411,                0.28479,                 0.5134,                0.48315,                0.44948,                 0.2132,                 1.6612,                  2.913,                 1.1723,                 1.3943,               0.006634,               0.006634,               0.006634
                     70,                 1.5823,                 2.7449,                 1.1724,                 1.3026,                0.54591,                0.53175,                0.50296,                0.28468,                0.51352,                0.48313,                 0.4488,                0.21272,                 1.6611,                 2.9128,                 1.1721,                 1.3941,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.5724,                 2.7357,                 1.1653,                 1.3009,                0.54373,                0.53116,                0.50359,                0.28528,                0.51088,                 0.4853,                0.44951,                0.21326,                 1.6612,                 2.9133,                 1.1719,                 1.3942,               0.006535,               0.006535,               0.006535
                     72,                 1.5763,                 2.7419,                 1.1643,                 1.3023,                0.54225,                0.53116,                0.50308,                0.28476,                0.50961,                0.48492,                 0.4491,                 0.2129,                 1.6612,                 2.9132,                 1.1713,                 1.3942,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.5783,                  2.738,                 1.1679,                 1.3021,                0.54467,                0.53261,                0.50341,                0.28497,                0.50957,                0.48448,                0.44892,                0.21305,                 1.6612,                 2.9134,                 1.1713,                  1.394,               0.006436,               0.006436,               0.006436
                     74,                 1.5757,                 2.7367,                 1.1597,                 1.3004,                0.54468,                0.53183,                0.50364,                0.28536,                0.50752,                 0.4858,                 0.4502,                0.21367,                 1.6614,                 2.9135,                 1.1712,                 1.3941,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.5805,                 2.7421,                 1.1686,                 1.3006,                0.54631,                0.53015,                0.50316,                0.28481,                0.50847,                0.48441,                0.44853,                0.21273,                 1.6613,                 2.9136,                 1.1709,                 1.3938,               0.006337,               0.006337,               0.006337
                     76,                 1.5733,                 2.7306,                 1.1649,                 1.3022,                0.54729,                0.53159,                0.50382,                0.28502,                0.51135,                0.48422,                0.44919,                0.21333,                 1.6615,                 2.9138,                 1.1707,                  1.394,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.5756,                 2.7376,                 1.1645,                 1.2991,                0.54687,                0.53181,                0.50344,                0.28502,                0.50721,                0.48614,                0.44908,                 0.2133,                 1.6613,                 2.9136,                 1.1706,                 1.3939,               0.006238,               0.006238,               0.006238
                     78,                 1.5681,                 2.7255,                 1.1557,                 1.2971,                0.54762,                0.53345,                0.50401,                0.28498,                0.50855,                0.48696,                0.44879,                0.21306,                 1.6614,                 2.9142,                 1.1702,                  1.394,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.5694,                 2.7245,                 1.1553,                  1.295,                0.54705,                0.53219,                0.50308,                0.28508,                0.51171,                 0.4847,                0.44912,                0.21332,                 1.6611,                 2.9142,                 1.1701,                 1.3938,               0.006139,               0.006139,               0.006139
                     80,                 1.5703,                 2.7297,                 1.1574,                    1.3,                0.54746,                0.53492,                0.50419,                 0.2849,                0.51105,                0.48824,                0.44962,                0.21337,                 1.6612,                 2.9143,                 1.1698,                 1.3936,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.5705,                 2.7277,                 1.1564,                 1.2975,                0.54638,                0.53365,                0.50414,                0.28516,                0.51348,                0.48798,                 0.4506,                0.21399,                 1.6612,                 2.9144,                 1.1697,                 1.3937,                0.00604,                0.00604,                0.00604
                     82,                 1.5677,                 2.7191,                 1.1516,                 1.2925,                0.54764,                0.53354,                0.50418,                0.28489,                0.51298,                0.48788,                0.44996,                0.21372,                 1.6612,                 2.9146,                 1.1695,                 1.3936,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.572,                 2.7238,                 1.1508,                 1.2933,                0.54865,                0.53455,                0.50459,                0.28515,                0.51514,                0.48725,                0.45038,                0.21407,                 1.6611,                  2.915,                 1.1696,                 1.3935,               0.005941,               0.005941,               0.005941
                     84,                 1.5655,                  2.718,                 1.1516,                 1.2937,                   0.55,                0.53419,                0.50442,                0.28525,                 0.5179,                0.48615,                0.45024,                 0.2138,                 1.6612,                 2.9151,                 1.1691,                 1.3937,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.5596,                 2.7115,                 1.1497,                 1.2944,                0.55009,                 0.5348,                0.50441,                0.28536,                 0.5192,                 0.4857,                0.45052,                0.21384,                 1.6613,                 2.9154,                 1.1692,                 1.3938,               0.005842,               0.005842,               0.005842
                     86,                 1.5609,                 2.7077,                 1.1512,                 1.2948,                0.54875,                0.53505,                0.50455,                0.28558,                0.52013,                0.48438,                0.44989,                0.21344,                 1.6611,                 2.9152,                 1.1691,                 1.3939,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.5634,                 2.7134,                 1.1475,                 1.2914,                0.55087,                0.53348,                0.50487,                0.28557,                0.51708,                0.48555,                0.44972,                0.21348,                 1.6612,                 2.9154,                 1.1691,                  1.394,               0.005743,               0.005743,               0.005743
